CustomerID,Recency,Frequency,Monetary,Cluster,Segment,Churn
12477,17,9,20276.37,1,Potential Loyalists,1
12479,6,1,527.2,1,Potential Loyalists,1
12480,23,7,5464.85,1,Potential Loyalists,1
12481,17,15,12361.39,1,Potential Loyalists,1
12482,571,29,23691.4,4,Average Buyers,0
12483,12,19,5120.58,1,Potential Loyalists,1
12484,27,12,6370.15,1,Potential Loyalists,1
12485,524,1,708.1,0,At-Risk Customers,0
12486,426,1,1037.28,0,At-Risk Customers,0
12487,725,1,285.3,0,At-Risk Customers,0
12488,4,3,1298.66,1,Potential Loyalists,1
12489,331,1,334.93,0,At-Risk Customers,1
12490,12,20,9361.34,4,Average Buyers,1
12491,33,1,460.4,1,Potential Loyalists,1
12492,58,3,715.21,1,Potential Loyalists,1
12493,160,2,433.74,1,Potential Loyalists,1
12494,10,9,1872.87,1,Potential Loyalists,1
12495,635,1,357.4,0,At-Risk Customers,0
12496,615,2,54.09,0,At-Risk Customers,0
12497,76,3,6248.5,1,Potential Loyalists,1
12498,16,3,403.7,1,Potential Loyalists,1
12499,555,1,393.72,0,At-Risk Customers,0
12500,18,19,5955.21,1,Potential Loyalists,1
12501,331,1,2169.39,0,At-Risk Customers,1
12502,90,5,3723.87,1,Potential Loyalists,1
12503,579,1,1126.0,0,At-Risk Customers,0
12504,13,4,779.05,1,Potential Loyalists,1
12505,403,1,955.2,0,At-Risk Customers,1
12506,227,1,73.5,1,Potential Loyalists,1
12507,129,4,1844.06,1,Potential Loyalists,1
12508,21,2,398.27,1,Potential Loyalists,1
12509,279,1,176.5,0,At-Risk Customers,1
12510,137,9,5178.02,1,Potential Loyalists,1
12511,423,1,3084.02,0,At-Risk Customers,0
12512,61,2,138.03,1,Potential Loyalists,1
12513,107,1,612.29,1,Potential Loyalists,1
12514,262,2,1597.76,1,Potential Loyalists,1
12515,348,1,383.7,0,At-Risk Customers,1
12516,72,4,2648.62,1,Potential Loyalists,1
12517,23,5,2502.84,1,Potential Loyalists,1
12518,23,4,1717.75,1,Potential Loyalists,1
12519,58,2,726.54,1,Potential Loyalists,1
12520,74,5,2634.26,1,Potential Loyalists,1
12521,137,1,599.68,1,Potential Loyalists,1
12522,34,2,192.72,1,Potential Loyalists,1
12523,14,23,4372.15,4,Average Buyers,1
12524,4,17,11126.11,1,Potential Loyalists,1
12525,493,3,973.73,0,At-Risk Customers,0
12526,48,2,1039.58,1,Potential Loyalists,1
12527,76,5,735.51,1,Potential Loyalists,1
12528,4,6,1933.48,1,Potential Loyalists,1
12529,523,1,316.48,0,At-Risk Customers,0
12530,54,9,3759.26,1,Potential Loyalists,1
12531,9,2,1933.2,1,Potential Loyalists,1
12532,25,1,349.83,1,Potential Loyalists,1
12533,622,2,1367.89,0,At-Risk Customers,0
12534,125,1,1089.18,1,Potential Loyalists,1
12535,86,2,716.35,1,Potential Loyalists,1
12536,38,3,12601.83,1,Potential Loyalists,1
12537,403,1,732.94,0,At-Risk Customers,1
12538,24,2,640.45,1,Potential Loyalists,1
12539,17,7,11214.75,1,Potential Loyalists,1
12540,14,33,22254.49,4,Average Buyers,1
12541,24,3,981.18,1,Potential Loyalists,1
12542,479,2,481.88,0,At-Risk Customers,0
12543,443,1,980.25,0,At-Risk Customers,0
12544,31,1,372.7,1,Potential Loyalists,1
12545,70,2,1000.39,1,Potential Loyalists,1
12546,41,2,1161.5,1,Potential Loyalists,1
12547,192,3,383.58,1,Potential Loyalists,1
12548,161,1,95.2,1,Potential Loyalists,1
12549,570,6,1575.68,0,At-Risk Customers,0
12550,74,1,964.83,1,Potential Loyalists,1
12551,352,1,168.0,0,At-Risk Customers,1
12552,33,2,437.82,1,Potential Loyalists,1
12553,3,12,4608.75,1,Potential Loyalists,1
12554,443,1,468.5,0,At-Risk Customers,0
12555,677,1,129.23,0,At-Risk Customers,0
12556,45,2,603.71,1,Potential Loyalists,1
12557,11,8,18716.14,1,Potential Loyalists,1
12558,2,1,269.96,1,Potential Loyalists,1
12559,305,2,561.71,0,At-Risk Customers,1
12560,107,2,1436.31,1,Potential Loyalists,1
12561,297,1,238.85,0,At-Risk Customers,1
12562,3,9,4966.92,1,Potential Loyalists,1
12563,403,1,249.24,0,At-Risk Customers,1
12564,256,1,456.9,1,Potential Loyalists,1
12565,283,1,145.92,0,At-Risk Customers,1
12566,81,1,351.65,1,Potential Loyalists,1
12567,17,15,13709.86,1,Potential Loyalists,1
12568,639,1,70.0,0,At-Risk Customers,0
12569,2,28,3704.86,4,Average Buyers,1
12570,677,1,77.52,0,At-Risk Customers,0
12571,34,2,519.61,1,Potential Loyalists,1
12572,3,2,1020.42,1,Potential Loyalists,1
12573,222,5,717.41,1,Potential Loyalists,1
12574,310,1,218.45,0,At-Risk Customers,1
12575,452,2,622.82,0,At-Risk Customers,0
12576,30,8,2142.72,1,Potential Loyalists,1
12577,30,8,1653.75,1,Potential Loyalists,1
12578,16,4,4642.45,1,Potential Loyalists,1
12579,73,1,440.42,1,Potential Loyalists,1
12580,241,2,1052.9,1,Potential Loyalists,1
12581,34,1,197.71,1,Potential Loyalists,1
12582,233,4,1980.4,1,Potential Loyalists,1
12583,13,26,13752.67,4,Average Buyers,1
12584,12,8,2137.7,1,Potential Loyalists,1
12585,229,2,2040.1,1,Potential Loyalists,1
12586,12,4,2062.67,1,Potential Loyalists,1
12587,2,1,144.0,1,Potential Loyalists,1
12588,34,4,958.78,1,Potential Loyalists,1
12589,23,8,4695.66,1,Potential Loyalists,1
12590,206,2,9864.26,1,Potential Loyalists,1
12591,312,3,1352.15,0,At-Risk Customers,1
12592,87,5,2582.66,1,Potential Loyalists,1
12593,103,3,418.1,1,Potential Loyalists,1
12594,32,15,5090.11,1,Potential Loyalists,1
12595,499,1,299.02,0,At-Risk Customers,0
12596,46,2,618.27,1,Potential Loyalists,1
12597,14,4,3811.22,1,Potential Loyalists,1
12598,4,11,4534.09,1,Potential Loyalists,1
12599,24,13,2296.72,1,Potential Loyalists,1
12600,23,21,5043.92,4,Average Buyers,1
12601,184,6,681.26,1,Potential Loyalists,1
12602,53,1,153.12,1,Potential Loyalists,1
12603,16,1,739.2,1,Potential Loyalists,1
12604,74,2,254.18,1,Potential Loyalists,1
12605,371,4,1232.95,0,At-Risk Customers,1
12606,677,1,21.0,0,At-Risk Customers,0
12607,55,1,1579.51,1,Potential Loyalists,1
12608,399,1,415.79,0,At-Risk Customers,1
12609,73,9,3435.86,1,Potential Loyalists,1
12610,17,5,2099.54,1,Potential Loyalists,1
12611,47,1,1193.32,1,Potential Loyalists,1
12612,69,1,704.04,1,Potential Loyalists,1
12613,52,10,6835.07,1,Potential Loyalists,1
12614,272,1,315.6,0,At-Risk Customers,1
12615,31,7,5318.13,1,Potential Loyalists,1
12616,90,3,1131.1,1,Potential Loyalists,1
12617,24,1,355.53,1,Potential Loyalists,1
12618,16,1,177.31,1,Potential Loyalists,1
12619,11,10,3781.38,1,Potential Loyalists,1
12620,9,3,1339.41,1,Potential Loyalists,1
12621,18,34,23587.61,4,Average Buyers,1
12622,227,1,180.1,1,Potential Loyalists,1
12623,271,7,3747.84,1,Potential Loyalists,1
12624,101,2,641.13,1,Potential Loyalists,1
12625,206,4,5164.88,1,Potential Loyalists,1
12626,18,9,6620.48,1,Potential Loyalists,1
12627,5,7,4478.53,1,Potential Loyalists,1
12628,28,2,571.21,1,Potential Loyalists,1
12629,380,2,1558.22,0,At-Risk Customers,1
12630,4,2,1270.88,1,Potential Loyalists,1
12631,52,6,3481.57,1,Potential Loyalists,1
12632,515,2,804.88,0,At-Risk Customers,0
12633,53,7,5678.16,1,Potential Loyalists,1
12634,530,2,490.0,0,At-Risk Customers,0
12635,84,4,2930.41,1,Potential Loyalists,1
12636,733,1,141.0,0,At-Risk Customers,0
12637,62,12,8340.31,1,Potential Loyalists,1
12638,28,2,921.49,1,Potential Loyalists,1
12639,233,3,1312.37,1,Potential Loyalists,1
12640,18,3,1174.58,1,Potential Loyalists,1
12641,110,1,185.9,1,Potential Loyalists,1
12642,20,3,1013.26,1,Potential Loyalists,1
12643,123,12,8350.42,1,Potential Loyalists,1
12644,124,4,1918.49,1,Potential Loyalists,1
12645,28,8,3539.3,1,Potential Loyalists,1
12646,44,1,731.69,1,Potential Loyalists,1
12647,17,36,17924.35,4,Average Buyers,1
12648,149,4,1112.0,1,Potential Loyalists,1
12649,102,8,2294.65,1,Potential Loyalists,1
12651,329,4,377.75,0,At-Risk Customers,1
12652,326,2,1017.03,0,At-Risk Customers,1
12653,143,3,4160.83,1,Potential Loyalists,1
12654,5,5,601.98,1,Potential Loyalists,1
12655,418,1,261.35,0,At-Risk Customers,0
12656,12,8,6407.83,1,Potential Loyalists,1
12657,6,4,1643.18,1,Potential Loyalists,1
12658,13,1,686.05,1,Potential Loyalists,1
12659,24,1,91.68,1,Potential Loyalists,1
12660,6,1,245.1,1,Potential Loyalists,1
12661,431,1,162.0,0,At-Risk Customers,0
12662,18,19,6763.07,1,Potential Loyalists,1
12663,619,2,239.4,0,At-Risk Customers,0
12664,3,11,6070.04,1,Potential Loyalists,1
12665,319,3,313.6,0,At-Risk Customers,1
12666,389,1,1248.42,0,At-Risk Customers,1
12667,53,1,620.13,1,Potential Loyalists,1
12668,6,10,11444.68,1,Potential Loyalists,1
12669,145,3,2744.03,1,Potential Loyalists,1
12670,5,7,3760.29,1,Potential Loyalists,1
12671,601,1,2622.48,0,At-Risk Customers,0
12672,324,2,437.05,0,At-Risk Customers,1
12673,321,2,840.4,0,At-Risk Customers,1
12674,33,4,1970.6,1,Potential Loyalists,1
12675,548,2,958.5,0,At-Risk Customers,0
12676,19,11,2843.09,1,Potential Loyalists,1
12677,550,2,395.1,0,At-Risk Customers,0
12678,37,21,34281.18,4,Average Buyers,1
12679,53,4,1113.02,1,Potential Loyalists,1
12680,68,3,613.36,1,Potential Loyalists,1
12681,9,45,30868.28,4,Average Buyers,1
12682,4,51,23397.28,4,Average Buyers,1
12683,45,19,11899.3,4,Average Buyers,1
12684,2,7,2283.63,1,Potential Loyalists,1
12685,23,6,2863.08,1,Potential Loyalists,1
12686,366,1,178.28,0,At-Risk Customers,1
12687,475,2,2138.91,0,At-Risk Customers,0
12688,108,1,4873.81,1,Potential Loyalists,1
12689,20,2,1247.61,1,Potential Loyalists,1
12690,200,1,389.01,1,Potential Loyalists,1
12691,23,7,1170.4,1,Potential Loyalists,1
12692,632,1,110.95,0,At-Risk Customers,0
12693,122,7,1703.02,1,Potential Loyalists,1
12694,65,3,1843.35,1,Potential Loyalists,1
12695,2,7,1407.12,1,Potential Loyalists,1
12696,429,2,851.91,0,At-Risk Customers,0
12697,23,3,957.59,1,Potential Loyalists,1
12698,585,1,339.75,0,At-Risk Customers,0
12699,412,1,638.11,0,At-Risk Customers,0
12700,2,4,4939.99,1,Potential Loyalists,1
12701,74,6,2446.41,1,Potential Loyalists,1
12702,14,1,219.0,1,Potential Loyalists,1
12703,66,4,1006.53,1,Potential Loyalists,1
12704,2,8,2340.84,1,Potential Loyalists,1
12705,10,14,11762.1,1,Potential Loyalists,1
12707,286,1,603.42,0,At-Risk Customers,1
12708,24,18,5314.1,1,Potential Loyalists,1
12709,10,34,31093.34,4,Average Buyers,1
12710,91,3,1149.02,1,Potential Loyalists,1
12711,606,2,1339.05,0,At-Risk Customers,0
12712,23,21,7193.66,4,Average Buyers,1
12714,4,12,14093.71,1,Potential Loyalists,1
12715,101,1,353.86,1,Potential Loyalists,1
12716,128,1,677.9,1,Potential Loyalists,1
12717,146,3,1308.91,1,Potential Loyalists,1
12718,66,1,238.25,1,Potential Loyalists,1
12719,60,1,283.6,1,Potential Loyalists,1
12720,10,29,7878.2,4,Average Buyers,1
12721,26,8,4013.08,1,Potential Loyalists,1
12722,80,4,997.63,1,Potential Loyalists,1
12723,11,4,647.79,1,Potential Loyalists,1
12724,76,6,2109.28,1,Potential Loyalists,1
12725,366,4,2694.56,0,At-Risk Customers,1
12726,23,11,4014.6,1,Potential Loyalists,1
12727,5,10,5679.53,1,Potential Loyalists,1
12728,66,5,1070.17,1,Potential Loyalists,1
12729,108,1,453.01,1,Potential Loyalists,1
12730,516,1,829.25,0,At-Risk Customers,0
12731,18,17,25775.71,4,Average Buyers,1
12732,174,1,236.26,1,Potential Loyalists,1
12733,229,4,2424.87,1,Potential Loyalists,1
12734,347,3,639.65,0,At-Risk Customers,1
12735,310,2,779.57,0,At-Risk Customers,1
12736,327,1,234.0,0,At-Risk Customers,1
12737,493,2,3710.5,0,At-Risk Customers,0
12738,367,1,310.7,0,At-Risk Customers,1
12739,73,4,2726.73,1,Potential Loyalists,1
12740,58,1,427.6,1,Potential Loyalists,1
12741,524,2,406.07,0,At-Risk Customers,0
12742,620,1,1201.52,0,At-Risk Customers,0
12743,129,2,546.43,1,Potential Loyalists,1
12744,46,11,25317.06,1,Potential Loyalists,1
12745,481,3,925.41,0,At-Risk Customers,0
12746,535,1,254.55,0,At-Risk Customers,0
12747,17,25,8838.04,4,Average Buyers,1
12748,0,331,55844.23,2,One-Time Buyers,1
12749,17,8,6134.3,1,Potential Loyalists,1
12750,123,1,275.88,1,Potential Loyalists,1
12751,439,1,268.27,0,At-Risk Customers,0
12752,76,1,4366.78,1,Potential Loyalists,1
12753,17,6,21429.39,1,Potential Loyalists,1
12754,230,3,3010.74,1,Potential Loyalists,1
12755,275,11,9030.66,1,Potential Loyalists,1
12756,81,1,112.08,1,Potential Loyalists,1
12757,10,13,7857.1,1,Potential Loyalists,1
12758,111,7,9903.24,1,Potential Loyalists,1
12759,47,8,5020.74,1,Potential Loyalists,1
12760,450,1,347.8,0,At-Risk Customers,0
12761,452,2,782.95,0,At-Risk Customers,0
12762,2,2,1898.52,1,Potential Loyalists,1
12763,133,2,814.16,1,Potential Loyalists,1
12764,311,1,1693.88,0,At-Risk Customers,1
12765,467,6,1404.58,0,At-Risk Customers,0
12766,52,8,9349.85,1,Potential Loyalists,1
12767,370,1,949.82,0,At-Risk Customers,1
12768,445,1,168.69,0,At-Risk Customers,0
12769,233,1,1143.6,1,Potential Loyalists,1
12770,205,2,3246.45,1,Potential Loyalists,1
12771,480,1,282.3,0,At-Risk Customers,0
12772,54,1,892.47,1,Potential Loyalists,1
12773,559,1,124.25,0,At-Risk Customers,0
12774,530,1,98.7,0,At-Risk Customers,0
12775,12,7,1686.12,1,Potential Loyalists,1
12776,662,1,55.5,0,At-Risk Customers,0
12777,452,1,519.45,0,At-Risk Customers,0
12778,14,9,1775.68,1,Potential Loyalists,1
12779,32,14,6722.27,1,Potential Loyalists,1
12780,593,1,337.4,0,At-Risk Customers,0
12781,58,2,826.74,1,Potential Loyalists,1
12782,144,10,4365.99,1,Potential Loyalists,1
12783,27,5,1825.33,1,Potential Loyalists,1
12784,4,3,1804.75,1,Potential Loyalists,1
12785,359,3,1100.4,0,At-Risk Customers,1
12786,604,1,728.5,0,At-Risk Customers,0
12787,4,4,862.18,1,Potential Loyalists,1
12788,458,4,444.9,0,At-Risk Customers,0
12789,60,3,273.35,1,Potential Loyalists,1
12790,187,2,591.85,1,Potential Loyalists,1
12791,368,6,1056.11,0,At-Risk Customers,1
12792,251,2,827.01,1,Potential Loyalists,1
12793,329,3,1017.33,0,At-Risk Customers,1
12794,48,2,860.41,1,Potential Loyalists,1
12795,13,1,430.48,1,Potential Loyalists,1
12796,623,1,381.0,0,At-Risk Customers,0
12797,360,2,806.11,0,At-Risk Customers,1
12798,5,4,8510.93,1,Potential Loyalists,1
12799,524,1,219.35,0,At-Risk Customers,0
12800,465,3,584.25,0,At-Risk Customers,0
12801,495,1,1071.82,0,At-Risk Customers,0
12802,181,7,2416.42,1,Potential Loyalists,1
12803,388,1,1092.81,0,At-Risk Customers,1
12804,460,2,327.02,0,At-Risk Customers,0
12805,376,4,1434.95,0,At-Risk Customers,1
12806,430,4,2878.96,0,At-Risk Customers,0
12807,378,1,330.35,0,At-Risk Customers,1
12808,31,5,906.1,1,Potential Loyalists,1
12809,172,3,1755.94,1,Potential Loyalists,1
12810,529,2,534.99,0,At-Risk Customers,0
12811,255,5,1033.9,1,Potential Loyalists,1
12812,39,1,229.64,1,Potential Loyalists,1
12813,496,3,1687.8,0,At-Risk Customers,0
12814,96,1,125.92,1,Potential Loyalists,1
12815,142,2,1063.46,1,Potential Loyalists,1
12816,90,2,572.2,1,Potential Loyalists,1
12817,276,3,690.98,0,At-Risk Customers,1
12818,256,1,1542.08,1,Potential Loyalists,1
12819,453,1,540.52,0,At-Risk Customers,0
12820,39,10,2479.17,1,Potential Loyalists,1
12821,209,2,220.8,1,Potential Loyalists,1
12822,65,2,948.88,1,Potential Loyalists,1
12823,69,18,6501.5,1,Potential Loyalists,1
12824,54,1,397.12,1,Potential Loyalists,1
12825,516,2,518.63,0,At-Risk Customers,0
12826,24,11,2813.15,1,Potential Loyalists,1
12827,0,3,430.15,1,Potential Loyalists,1
12828,2,5,935.09,1,Potential Loyalists,1
12829,331,3,385.3,0,At-Risk Customers,1
12830,32,6,6814.64,1,Potential Loyalists,1
12831,257,3,451.11,1,Potential Loyalists,1
12832,27,2,383.03,1,Potential Loyalists,1
12833,140,1,417.38,1,Potential Loyalists,1
12834,277,1,312.38,0,At-Risk Customers,1
12835,422,41,6043.31,4,Average Buyers,0
12836,54,15,6585.62,1,Potential Loyalists,1
12837,168,2,688.41,1,Potential Loyalists,1
12838,28,10,3398.48,1,Potential Loyalists,1
12839,6,25,9319.34,4,Average Buyers,1
12840,138,7,4041.97,1,Potential Loyalists,1
12841,9,38,7389.67,4,Average Buyers,1
12842,65,4,1917.99,1,Potential Loyalists,1
12843,60,30,6588.41,4,Average Buyers,1
12844,24,4,648.6,1,Potential Loyalists,1
12845,262,4,354.09,1,Potential Loyalists,1
12846,677,1,15.58,0,At-Risk Customers,0
12847,17,2,1636.9,1,Potential Loyalists,1
12848,670,1,208.0,0,At-Risk Customers,0
12849,26,6,3090.56,1,Potential Loyalists,1
12850,440,1,330.0,0,At-Risk Customers,0
12851,91,2,284.13,1,Potential Loyalists,1
12852,289,1,311.55,0,At-Risk Customers,1
12853,129,11,3907.5,1,Potential Loyalists,1
12854,73,7,2994.02,1,Potential Loyalists,1
12855,367,4,650.94,0,At-Risk Customers,1
12856,2,6,2179.93,1,Potential Loyalists,1
12857,205,6,3688.0,1,Potential Loyalists,1
12858,378,1,177.92,0,At-Risk Customers,1
12859,453,1,575.1,0,At-Risk Customers,0
12860,688,1,55.47,0,At-Risk Customers,0
12861,614,1,68.25,0,At-Risk Customers,0
12862,420,2,1008.32,0,At-Risk Customers,0
12863,47,6,2792.55,1,Potential Loyalists,1
12864,133,2,299.57,1,Potential Loyalists,1
12865,21,4,3323.47,1,Potential Loyalists,1
12866,278,3,1227.35,0,At-Risk Customers,1
12867,21,13,7913.29,1,Potential Loyalists,1
12868,180,8,2247.06,1,Potential Loyalists,1
12869,676,1,337.67,0,At-Risk Customers,0
12870,370,3,1676.95,0,At-Risk Customers,1
12871,79,3,744.02,1,Potential Loyalists,1
12872,321,12,3685.49,0,At-Risk Customers,1
12873,277,3,2027.3,0,At-Risk Customers,1
12874,380,2,948.42,0,At-Risk Customers,1
12875,138,5,1356.99,1,Potential Loyalists,1
12876,52,4,4081.79,1,Potential Loyalists,1
12877,19,19,2855.51,1,Potential Loyalists,1
12878,231,2,854.99,1,Potential Loyalists,1
12879,39,3,573.22,1,Potential Loyalists,1
12880,376,2,640.13,0,At-Risk Customers,1
12881,270,1,298.0,0,At-Risk Customers,1
12882,4,2,1463.04,1,Potential Loyalists,1
12883,19,4,703.47,1,Potential Loyalists,1
12884,83,1,309.05,1,Potential Loyalists,1
12885,58,3,1175.22,1,Potential Loyalists,1
12886,62,2,1378.4,1,Potential Loyalists,1
12887,378,1,222.4,0,At-Risk Customers,1
12888,209,2,354.12,1,Potential Loyalists,1
12889,376,4,385.46,0,At-Risk Customers,1
12890,19,2,717.27,1,Potential Loyalists,1
12891,180,11,840.5,1,Potential Loyalists,1
12892,391,1,263.38,0,At-Risk Customers,1
12893,25,1,188.14,1,Potential Loyalists,1
12894,570,1,157.35,0,At-Risk Customers,0
12895,37,2,372.8,1,Potential Loyalists,1
12897,199,4,514.25,1,Potential Loyalists,1
12898,458,2,310.96,0,At-Risk Customers,0
12899,408,1,366.4,0,At-Risk Customers,0
12900,417,1,340.33,0,At-Risk Customers,0
12901,3,28,17654.54,4,Average Buyers,1
12902,259,1,138.68,1,Potential Loyalists,1
12903,423,1,833.53,0,At-Risk Customers,0
12904,13,2,509.58,1,Potential Loyalists,1
12905,571,2,1018.42,0,At-Risk Customers,0
12906,6,5,2919.81,1,Potential Loyalists,1
12907,390,2,508.91,0,At-Risk Customers,1
12908,171,5,1776.0,1,Potential Loyalists,1
12909,34,8,3103.19,1,Potential Loyalists,1
12910,18,13,5796.52,1,Potential Loyalists,1
12911,546,1,1680.47,0,At-Risk Customers,0
12912,3,4,1474.38,1,Potential Loyalists,1
12913,10,12,6165.76,1,Potential Loyalists,1
12914,395,1,223.98,0,At-Risk Customers,1
12915,143,4,1174.75,1,Potential Loyalists,1
12916,133,7,4654.02,1,Potential Loyalists,1
12917,123,6,4359.2,1,Potential Loyalists,1
12918,621,1,10953.5,0,At-Risk Customers,0
12919,3,6,1335.19,1,Potential Loyalists,1
12920,12,4,488.09,1,Potential Loyalists,1
12921,4,74,35921.04,4,Average Buyers,1
12922,156,1,405.38,1,Potential Loyalists,1
12923,59,3,789.87,1,Potential Loyalists,1
